"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"2","2.002556029","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"3","4.005115949","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"4","6.007653487","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"5","8.010218138","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"6","10.012725467","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"7","12.015259703","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"8","14.017837104","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"9","16.010174641","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"10","18.012752839","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
"11","20.015304129","Routerbo_0c:d9:6b","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/4c:5e:0c:0c:d9:6b  Cost = 0  Port = 0x8001"
